SIGN ID,LOCATION DESCRIPTION,LIMIT,LATITUDE,LONGITUDE
27466,AMPHITHEATRE ROAD,80,-37.182858,143.400283
27471,AMPHITHEATRE ROAD,100,-37.196714,143.398434
67016,AMPHLETT AVENUE,50,-37.938622,145.496193
1019,AMSTERDAM STREET,40,-37.831068,144.997322
39001,ANAKIE ROAD,60,-38.065734,144.326315
38994,ANAKIE ROAD,80,-38.055252,144.318239
38993,ANAKIE ROAD,80,-38.052487,144.31612
38991,ANAKIE ROAD,80,-38.050397,144.314519
115195,ANAKIE ,80,-38.062588,144.323885
115603,ANAKIE ,80,-38.064784,144.325581
1707,ANCHORAGE ROAD,60,-38.461551,145.19434
64128,ANCHORAGE DRIVE,50,-38.216435,145.339911
64130,ANCHORAGE DRIVE,50,-38.214028,145.34253
66448,ANDERSON STREET,40,-37.751378,145.356426
33950,ANDERSON STREET,40,-36.2598,142.392105
42074,ANDERSON STREET,40,-38.458022,144.108549
42077,ANDERSON STREET,50,-38.457213,144.11094
44417,ANDERSON STREET,60,-38.348307,141.590863
1257,ANDERSON STREET,40,-37.834037,144.98373
1259,ANDERSON STREET,40,-37.832927,144.983949
1261,ANDERSON STREET,40,-37.831983,144.984135
1267,ANDERSON STREET,50,-37.828956,144.984733
21941,ANDERSON STREET,50,-37.827007,147.607209
11024,ANDERSON STREET,40,-37.815783,144.883015
10316,ANDERSON ROAD,50,-37.695867,144.96921
10314,ANDERSON ROAD,40,-37.695774,144.968192
10311,ANDERSON ROAD,40,-37.695442,144.965384
24443,ANDERSON ROAD,50,-37.300511,144.959866
14831,ANDERSON STREET,50,-36.902488,145.235529
14829,ANDERSON STREET,40,-36.900593,145.234809
14828,ANDERSON STREET,40,-36.899418,145.234363
17128,ANDERSON STREET,50,-36.378573,145.348854
33959,ANDERSON STREET,50,-36.256907,142.392105
26033,ANDERSON ROAD,80,-36.155595,144.755551
26031,ANDERSON ROAD,80,-36.15276,144.755329
54255,ANDERSON ROAD,50,-37.840716,145.046167
55284,ANDERSON STREET,60,-37.756602,145.355068
55132,ANDERSON STREET,50,-37.816113,144.88585
41324,ANDERSONS ROAD,80,-38.193649,144.620151
41323,ANDERSONS ROAD,80,-38.193168,144.616114
41320,ANDERSONS ROAD,80,-38.192743,144.612486
41319,ANDERSONS ROAD,80,-38.192139,144.606941
41315,ANDERSONS ROAD,80,-38.190635,144.593148
41316,ANDERSONS ROAD,80,-38.189536,144.583792
41312,ANDERSONS ROAD,80,-38.188754,144.577931
41311,ANDERSONS ROAD,60,-38.188208,144.57384
41308,ANDERSONS ROAD,60,-38.187853,144.571187
41306,ANDERSONS ROAD,60,-38.187665,144.569778
40988,ANDERSONS ROAD,60,-38.186803,144.562509
40984,ANDERSONS ROAD,60,-38.186335,144.558417
40978,ANDERSONS ROAD,40,-38.18593,144.554956
40976,ANDERSONS ROAD,40,-38.185769,144.55361
40974,ANDERSONS ROAD,60,-38.185547,144.551675
39816,ANDREA COURT,50,-38.01632,144.40802
1303,ANDREW STREET,40,-37.851386,144.984265
44506,ANDREW STREET,40,-37.034606,141.301404
9324,ANDREW CHIRNSIDE AVENUE,50,-37.882934,144.758383
44939,ANDREWS STREET,50,-37.727175,141.999335
44937,ANDREWS STREET,40,-37.726863,141.996442
44935,ANDREWS STREET,40,-37.726655,141.994516
14895,ANDREWS ROAD,80,-36.37245,145.120771
79705,ANGELA COURT,40,-38.365518,142.469556
97179,ANGLE ROAD,40,-37.815786,145.060378
70793,ANGLESEA TERRACE,40,-38.136813,144.350561
70794,ANGLESEA TERRACE,40,-38.136717,144.349752
26396,ANGLESEY STREET,50,-37.032096,145.14325
26410,ANGLESEY STREET,40,-37.031037,145.144054
26398,ANGLESEY STREET,40,-37.030093,145.144773
37923,ANGUS STREET,40,-38.174017,144.33261
8272,ANGUS STREET,40,-37.707687,144.942559
31177,ANGUS STREET,50,-37.292335,143.789127
31179,ANGUS STREET,50,-37.288764,143.790415
31181,ANGUS STREET,60,-37.287777,143.790526
31183,ANGUS STREET,60,-37.285069,143.791464
58739,ANGUS STREET,60,-37.284322,143.791771
56178,ANITA STREET,50,-37.801828,145.316799
17103,ANN STREET,40,-36.391107,145.359963
53019,ANN STREET,50,-37.978988,145.21604
62712,ANN STREET,40,-37.978651,145.213177
62713,ANN STREET,40,-37.978421,145.211218
7347,ANNANDALE ROAD,60,-37.704093,144.857642
7337,ANNANDALE ROAD,60,-37.701635,144.851338
42835,ANNE STREET,80,-38.301916,142.36448
16817,ANNERLEY AVENUE,50,-36.369573,145.415993
16816,ANNERLEY AVENUE,40,-36.369435,145.414911
30477,ANSLOW STREET,50,-37.354016,144.520404
25986,ANSTRUTHER STREET,40,-36.127137,144.744854
27252,ANTWERP-WOORAK ROAD,80,-36.294625,142.021823
42884,ANZAC AVENUE,50,-38.301234,142.368142
42888,ANZAC AVENUE,40,-38.298407,142.368647
11195,ANZAC AVENUE,50,-37.637659,145.195239
23740,ANZAC AVENUE,40,-36.193517,147.905802
15316,ANZAC ROAD,80,-36.192805,146.464158
15314,ANZAC ROAD,60,-36.190255,146.465805
15345,ANZAC ROAD,60,-36.189468,146.466313
56843,ANZAC ROAD,80,-36.184393,146.464138
68539,ANZAC ROAD,40,-36.184937,146.468494
68540,ANZAC ROAD,50,-36.184675,146.4664
56845,ANZAC ROAD,100,-36.182444,146.460822
68538,ANZAC ROAD,60,-36.187899,146.467249
66841,ANZAC STREET,40,-37.798271,145.278179
66842,ANZAC STREET,40,-37.799004,145.278987
